GEOID,NAME,variable,estimate,moe,total
28463,ZCTA5 28463,income,9116,727,0
28464,ZCTA5 28464,income,3031,643,0
28465,ZCTA5 28465,income,7432,306,0
28466,ZCTA5 28466,income,9292,760,0
28467,ZCTA5 28467,income,10688,817,500
28468,ZCTA5 28468,income,5235,524,2.5
28469,ZCTA5 28469,income,6094,603,0
28470,ZCTA5 28470,income,12812,755,0
28472,ZCTA5 28472,income,18522,960,0
28478,ZCTA5 28478,income,4757,668,0
28479,ZCTA5 28479,income,7561,919,0
28480,ZCTA5 28480,income,2599,55,5000
28501,ZCTA5 28501,income,17772,861,0
28504,ZCTA5 28504,income,21717,1052,500
28508,ZCTA5 28508,income,3093,789,0
28510,ZCTA5 28510,income,1508,158,0
28511,ZCTA5 28511,income,626,107,0
28512,ZCTA5 28512,income,3211,290,50
28513,ZCTA5 28513,income,10339,729,0
28515,ZCTA5 28515,income,2606,294,0
28516,ZCTA5 28516,income,11455,655,2366.25
28518,ZCTA5 28518,income,8912,1109,1.25
28519,ZCTA5 28519,income,341,154,0
28520,ZCTA5 28520,income,243,113,0
28521,ZCTA5 28521,income,2769,484,0
28523,ZCTA5 28523,income,2196,401,0
28524,ZCTA5 28524,income,285,142,0
28525,ZCTA5 28525,income,2883,763,0
28526,ZCTA5 28526,income,2797,713,0
28527,ZCTA5 28527,income,788,213,0
28528,ZCTA5 28528,income,619,252,2000
28529,ZCTA5 28529,income,1920,307,0
28530,ZCTA5 28530,income,6577,921,0
28531,ZCTA5 28531,income,1260,152,0
28532,ZCTA5 28532,income,22220,1087,250
28533,ZCTA5 28533,income,3331,762,0
